"word","kjv_count","priority","lookup_candidates","sample_references","supplemental_help"
"israel","2575","high","israel","Genesis 32:28; Genesis 32:32; Genesis 34:7; Genesis 35:10; Genesis 35:10","Easton; Nave"
"david","1064","high","david","Ruth 4:17; Ruth 4:22; 1 Samuel 16:13; 1 Samuel 16:19; 1 Samuel 16:20","Easton; Nave"
"jesus","983","high","jesus; jesu","Matthew 1:1; Matthew 1:16; Matthew 1:18; Matthew 1:21; Matthew 1:25","Easton; Nave"
"moses","847","high","moses; mos; mose","Exodus 2:10; Exodus 2:11; Exodus 2:14; Exodus 2:15; Exodus 2:15","Easton"
"judah","816","high","judah","Genesis 29:35; Genesis 35:23; Genesis 37:26; Genesis 38:1; Genesis 38:2","Easton; Nave"
"jerusalem","814","high","jerusalem","Joshua 10:1; Joshua 10:3; Joshua 10:5; Joshua 10:23; Joshua 12:10","Easton; Nave"
"egypt","611","high","egypt","Genesis 12:10; Genesis 12:11; Genesis 12:14; Genesis 13:1; Genesis 13:10","Easton"
"saul","420","high","saul","Genesis 36:37; Genesis 36:38; 1 Samuel 9:2; 1 Samuel 9:3; 1 Samuel 9:3","Easton"
"jacob","377","high","jacob","Genesis 25:26; Genesis 25:27; Genesis 25:28; Genesis 25:29; Genesis 25:30","Easton; Nave"
"aaron","350","high","aaron","Exodus 4:14; Exodus 4:27; Exodus 4:28; Exodus 4:29; Exodus 4:30","Easton; Nave"
"solomon","304","high","solomon","2 Samuel 5:14; 2 Samuel 12:24; 1 Kings 1:10; 1 Kings 1:11; 1 Kings 1:12","Easton; Nave"
"babylon","294","high","babylon","2 Kings 17:24; 2 Kings 17:30; 2 Kings 20:12; 2 Kings 20:14; 2 Kings 20:17","Easton; Nave"
"pharaoh","273","high","pharaoh","Genesis 12:15; Genesis 12:15; Genesis 12:15; Genesis 12:17; Genesis 12:18","Easton; Nave"
"philistines","254","high","philistines; philistine","Genesis 21:32; Genesis 21:34; Genesis 26:1; Genesis 26:8; Genesis 26:14","Easton; Nave"
"abraham","250","high","abraham","Genesis 17:5; Genesis 17:9; Genesis 17:15; Genesis 17:17; Genesis 17:18","Easton; Nave"
"joseph","250","high","joseph","Genesis 30:24; Genesis 30:25; Genesis 33:2; Genesis 33:7; Genesis 35:24","Easton; Nave"
"joshua","216","high","joshua","Exodus 17:9; Exodus 17:10; Exodus 17:13; Exodus 17:14; Exodus 24:13","Easton; Nave"
"jordan","197","high","jordan","Genesis 13:10; Genesis 13:11; Genesis 32:10; Genesis 50:10; Genesis 50:11","Easton; Nave"
"ephraim","176","high","ephraim","Genesis 41:52; Genesis 46:20; Genesis 48:1; Genesis 48:5; Genesis 48:13","Easton; Nave"
"moab","168","high","moab","Genesis 19:37; Genesis 36:35; Exodus 15:15; Numbers 21:11; Numbers 21:13","Easton"
"paul","162","high","paul","Acts 13:9; Acts 13:13; Acts 13:16; Acts 13:43; Acts 13:45","Easton; Nave"
"peter","162","high","peter","Matthew 4:18; Matthew 8:14; Matthew 10:2; Matthew 14:28; Matthew 14:29","Easton; Nave"
"jeremiah","147","high","jeremiah","2 Kings 23:31; 2 Kings 24:18; 1 Chronicles 5:24; 1 Chronicles 12:4; 1 Chronicles 12:10","Easton; Nave"
"manasseh","147","high","manasseh","Genesis 41:51; Genesis 46:20; Genesis 48:1; Genesis 48:5; Genesis 48:13","Easton; Nave"
"joab","145","high","joab","1 Samuel 26:6; 2 Samuel 2:13; 2 Samuel 2:14; 2 Samuel 2:14; 2 Samuel 2:18","Easton; Nave"
"samuel","142","high","samuel","1 Samuel 1:20; 1 Samuel 2:18; 1 Samuel 2:21; 1 Samuel 2:26; 1 Samuel 3:1","Easton; Nave"
"john","133","high","john","Matthew 3:1; Matthew 3:4; Matthew 3:13; Matthew 3:14; Matthew 4:12","Easton; Nave"
"isaac","132","high","isaac","Genesis 17:19; Genesis 17:21; Genesis 21:3; Genesis 21:4; Genesis 21:5","Easton; Nave"
"hezekiah","128","high","hezekiah","2 Kings 16:20; 2 Kings 18:1; 2 Kings 18:9; 2 Kings 18:10; 2 Kings 18:13","Easton; Nave"
"samaria","124","high","samaria","1 Kings 13:32; 1 Kings 16:24; 1 Kings 16:24; 1 Kings 16:28; 1 Kings 16:29","Easton; Nave"
"jonathan","121","high","jonathan","Judges 18:30; 1 Samuel 13:2; 1 Samuel 13:3; 1 Samuel 13:16; 1 Samuel 13:22","Easton; Nave"
"assyria","118","high","assyria","Genesis 2:14; Genesis 25:18; 2 Kings 15:19; 2 Kings 15:20; 2 Kings 15:20","Easton; Nave"
"absalom","108","high","absalom","2 Samuel 3:3; 2 Samuel 13:1; 2 Samuel 13:4; 2 Samuel 13:20; 2 Samuel 13:20","Easton"
"jeroboam","104","high","jeroboam","1 Kings 11:26; 1 Kings 11:28; 1 Kings 11:29; 1 Kings 11:31; 1 Kings 11:40","Easton"
"gilead","101","high","gilead","Genesis 31:21; Genesis 31:23; Genesis 31:25; Genesis 37:25; Numbers 26:29","Easton; Nave"
"esau","100","high","esau","Genesis 25:25; Genesis 25:26; Genesis 25:27; Genesis 25:28; Genesis 25:29","Easton; Nave"
"ahab","94","high","ahab","1 Kings 16:28; 1 Kings 16:29; 1 Kings 16:29; 1 Kings 16:30; 1 Kings 16:33","Easton"
"ammon","91","high","ammon","Genesis 19:38; Numbers 21:24; Numbers 21:24; Deuteronomy 2:19; Deuteronomy 2:19","Easton; Nave"
"canaan","91","high","canaan","Genesis 9:18; Genesis 9:22; Genesis 9:25; Genesis 9:26; Genesis 9:27","Easton"
"edom","86","high","edom","Genesis 25:30; Genesis 32:3; Genesis 36:1; Genesis 36:8; Genesis 36:16","Easton; Nave"
"jehoshaphat","85","high","jehoshaphat","2 Samuel 8:16; 2 Samuel 20:24; 1 Kings 4:3; 1 Kings 4:17; 1 Kings 15:24","Easton; Nave"
"daniel","83","high","daniel","1 Chronicles 3:1; Ezra 8:2; Nehemiah 10:6; Ezekiel 14:14; Ezekiel 14:20","Easton; Nave"
"simon","76","high","simon","Matthew 4:18; Matthew 10:2; Matthew 10:4; Matthew 13:55; Matthew 16:16","Easton; Nave"
"selah","75","high","selah","2 Kings 14:7; Psalms 3:2; Psalms 3:4; Psalms 3:8; Psalms 4:2","Easton; Nave"
"syria","75","high","syria","Judges 10:6; 2 Samuel 8:6; 2 Samuel 8:12; 2 Samuel 15:8; 1 Kings 10:29","Easton; Nave"
"eleazar","74","high","eleazar","Exodus 6:23; Exodus 6:25; Exodus 28:1; Leviticus 10:6; Leviticus 10:12","Easton"
"reuben","74","high","reuben","Genesis 29:32; Genesis 30:14; Genesis 35:22; Genesis 35:23; Genesis 37:21","Easton; Nave"
"amorites","73","high","amorites; amorite","Genesis 14:7; Genesis 15:16; Genesis 15:21; Exodus 3:8; Exodus 3:17","Easton"
"hebron","73","high","hebron","Genesis 13:18; Genesis 23:2; Genesis 23:19; Genesis 35:27; Genesis 37:14","Easton; Nave"
"galilee","72","high","galilee","Joshua 20:7; Joshua 21:32; 1 Kings 9:11; 2 Kings 15:29; 1 Chronicles 6:76","Easton; Nave"
"levi","72","high","levi","Genesis 29:34; Genesis 34:25; Genesis 34:30; Genesis 35:23; Genesis 46:11","Easton; Nave"
"lebanon","71","high","lebanon","Deuteronomy 1:7; Deuteronomy 3:25; Deuteronomy 11:24; Joshua 1:4; Joshua 9:1","Easton; Nave"
"elijah","69","high","elijah","1 Kings 17:1; 1 Kings 17:13; 1 Kings 17:15; 1 Kings 17:16; 1 Kings 17:18","Easton; Nave"
"abimelech","66","high","abimelech","Genesis 20:2; Genesis 20:3; Genesis 20:4; Genesis 20:8; Genesis 20:9","Easton"
"bethel","66","high","bethel","Genesis 12:8; Genesis 12:8; Genesis 13:3; Genesis 13:3; Genesis 28:19","Easton; Nave"
"chaldeans","66","high","chaldeans; chaldean; chaldeane","Job 1:17; Isaiah 23:13; Isaiah 43:14; Isaiah 47:1; Isaiah 47:5","Nave"
"jericho","64","high","jericho","Numbers 22:1; Numbers 26:3; Numbers 26:63; Numbers 31:12; Numbers 33:48","Easton; Nave"
"shechem","64","high","shechem","Genesis 33:18; Genesis 33:19; Genesis 34:2; Genesis 34:4; Genesis 34:6","Easton; Nave"
"abner","63","high","abner","1 Samuel 14:50; 1 Samuel 14:51; 1 Samuel 17:55; 1 Samuel 17:55; 1 Samuel 17:55","Easton; Nave"
"balaam","63","high","balaam","Numbers 22:5; Numbers 22:7; Numbers 22:8; Numbers 22:9; Numbers 22:10","Easton; Nave"
"zedekiah","62","high","zedekiah","1 Kings 22:11; 1 Kings 22:24; 2 Kings 24:17; 2 Kings 24:18; 2 Kings 24:20","Easton; Nave"
"abram","61","high","abram; abraham","Genesis 11:26; Genesis 11:27; Genesis 11:29; Genesis 11:29; Genesis 11:31","Easton; Nave"
"syrians","61","high","syrians; syria; syrian; syriane","2 Samuel 8:5; 2 Samuel 8:5; 2 Samuel 8:6; 2 Samuel 8:13; 2 Samuel 10:6","Easton; Nave"
"damascus","60","high","damascus; damascu","Genesis 14:15; Genesis 15:2; 2 Samuel 8:5; 2 Samuel 8:6; 1 Kings 11:24","Easton; Nave"
"mordecai","60","high","mordecai","Ezra 2:2; Nehemiah 7:7; Esther 2:5; Esther 2:7; Esther 2:10","Easton; Nave"
"nebuchadnezzar","60","high","nebuchadnezzar","2 Kings 24:1; 2 Kings 24:10; 2 Kings 24:11; 2 Kings 25:1; 2 Kings 25:8","Easton"
"bashan","59","high","bashan","Numbers 21:33; Numbers 21:33; Numbers 32:33; Deuteronomy 1:4; Deuteronomy 3:1","Easton; Nave"
"jehu","59","high","jehu","1 Kings 16:1; 1 Kings 16:7; 1 Kings 16:12; 1 Kings 19:16; 1 Kings 19:17","Easton"
"elisha","58","high","elisha","1 Kings 19:16; 1 Kings 19:17; 1 Kings 19:19; 2 Kings 2:1; 2 Kings 2:2","Easton; Nave"
"esther","56","high","esther","Esther 2:7; Esther 2:8; Esther 2:10; Esther 2:11; Esther 2:15","Easton; Nave"
"pilate","56","high","pilate","Matthew 27:2; Matthew 27:13; Matthew 27:17; Matthew 27:22; Matthew 27:24","Nave"
"canaanites","55","high","canaanites; canaanite","Genesis 10:18; Genesis 10:19; Genesis 15:21; Genesis 24:3; Genesis 24:37","Easton; Nave"
"laban","55","high","laban","Genesis 24:29; Genesis 24:29; Genesis 24:50; Genesis 25:20; Genesis 27:43","Easton; Nave"
"mary","54","high","mary","Matthew 1:16; Matthew 1:18; Matthew 1:20; Matthew 2:11; Matthew 13:55","Easton; Nave"
"haman","53","high","haman","Esther 3:1; Esther 3:2; Esther 3:4; Esther 3:5; Esther 3:5","Easton; Nave"
"josiah","53","high","josiah","1 Kings 13:2; 2 Kings 21:24; 2 Kings 21:26; 2 Kings 22:1; 2 Kings 22:3","Easton; Nave"
"noah","53","high","noah","Genesis 5:29; Genesis 5:30; Genesis 5:32; Genesis 5:32; Genesis 6:8","Easton; Nave"
"zadok","53","high","zadok","2 Samuel 8:17; 2 Samuel 15:24; 2 Samuel 15:25; 2 Samuel 15:27; 2 Samuel 15:29","Easton; Nave"
"jehoiada","52","high","jehoiada","2 Samuel 8:18; 2 Samuel 20:23; 2 Samuel 23:20; 2 Samuel 23:22; 1 Kings 1:8","Easton"
"naphtali","50","high","naphtali","Genesis 30:8; Genesis 35:25; Genesis 46:24; Genesis 49:21; Exodus 1:4","Easton; Nave"
"rehoboam","50","high","rehoboam","1 Kings 11:43; 1 Kings 12:1; 1 Kings 12:3; 1 Kings 12:6; 1 Kings 12:12","Easton; Nave"
"simeon","50","high","simeon","Genesis 29:33; Genesis 34:25; Genesis 34:30; Genesis 35:23; Genesis 42:24","Easton; Nave"
"azariah","49","high","azariah","1 Kings 4:2; 1 Kings 4:5; 2 Kings 14:21; 2 Kings 15:1; 2 Kings 15:6","Easton"
"joash","49","high","joash","Judges 6:11; Judges 6:29; Judges 6:30; Judges 6:31; Judges 7:14","Easton; Nave"
"gibeah","48","high","gibeah","Joshua 15:57; Judges 19:12; Judges 19:13; Judges 19:14; Judges 19:15","Easton"
"ishmael","48","high","ishmael","Genesis 16:11; Genesis 16:15; Genesis 16:16; Genesis 17:18; Genesis 17:20","Easton; Nave"
"sodom","48","high","sodom","Genesis 10:19; Genesis 13:10; Genesis 13:12; Genesis 13:13; Genesis 14:2","Easton; Nave"
"rachel","47","high","rachel","Genesis 29:6; Genesis 29:9; Genesis 29:10; Genesis 29:11; Genesis 29:12","Easton; Nave"
"zebulun","45","high","zebulun","Genesis 30:20; Genesis 35:23; Genesis 46:14; Genesis 49:13; Exodus 1:3","Easton; Nave"
"herod","44","high","herod","Matthew 2:1; Matthew 2:3; Matthew 2:7; Matthew 2:12; Matthew 2:13","Nave"
"issachar","44","high","issachar","Genesis 30:18; Genesis 35:23; Genesis 46:13; Genesis 49:14; Exodus 1:3","Easton; Nave"
"asher","43","high","asher","Genesis 30:13; Genesis 35:26; Genesis 46:17; Genesis 49:20; Exodus 1:4","Easton"
"balak","43","high","balak","Numbers 22:2; Numbers 22:4; Numbers 22:7; Numbers 22:10; Numbers 22:13","Easton; Nave"
"judaea","43","high","judaea; judea","Matthew 2:1; Matthew 2:5; Matthew 2:22; Matthew 3:1; Matthew 3:5","Easton; Nave"
"ahaz","42","high","ahaz","2 Kings 15:38; 2 Kings 16:1; 2 Kings 16:2; 2 Kings 16:5; 2 Kings 16:7","Easton"
"benaiah","42","high","benaiah","2 Samuel 8:18; 2 Samuel 20:23; 2 Samuel 23:20; 2 Samuel 23:22; 2 Samuel 23:30","Easton; Nave"
"james","42","high","james; jame","Matthew 4:21; Matthew 10:2; Matthew 10:3; Matthew 13:55; Matthew 17:1","Easton; Nave"
"nathan","42","high","nathan","2 Samuel 5:14; 2 Samuel 7:2; 2 Samuel 7:3; 2 Samuel 7:4; 2 Samuel 7:17","Easton; Nave"
"shimei","42","high","shimei","Numbers 3:18; 2 Samuel 16:5; 2 Samuel 16:7; 2 Samuel 16:13; 2 Samuel 19:16","Easton; Nave"
"gilgal","41","high","gilgal","Deuteronomy 11:30; Joshua 4:19; Joshua 4:20; Joshua 5:9; Joshua 5:10","Easton; Nave"
"shemaiah","41","high","shemaiah","1 Kings 12:22; 1 Chronicles 3:22; 1 Chronicles 3:22; 1 Chronicles 4:37; 1 Chronicles 5:4","Easton; Nave"
"amaziah","40","high","amaziah","2 Kings 12:21; 2 Kings 13:12; 2 Kings 14:1; 2 Kings 14:8; 2 Kings 14:9","Easton; Nave"
"ephah","39","high","ephah","Genesis 25:4; Exodus 16:36; Leviticus 5:11; Leviticus 6:20; Leviticus 19:36","Easton; Nave"
"gideon","39","high","gideon","Judges 6:11; Judges 6:13; Judges 6:19; Judges 6:22; Judges 6:22","Easton; Nave"
"merari","39","high","merari","Genesis 46:11; Exodus 6:16; Exodus 6:19; Numbers 3:17; Numbers 3:20","Easton; Nave"
"midian","39","high","midian","Genesis 25:2; Genesis 25:4; Genesis 36:35; Exodus 2:15; Exodus 2:16","Easton; Nave"
"samson","39","high","samson","Judges 13:24; Judges 14:1; Judges 14:3; Judges 14:5; Judges 14:7","Easton; Nave"
"sarah","39","high","sarah","Genesis 17:15; Genesis 17:17; Genesis 17:19; Genesis 17:21; Genesis 18:6","Easton; Nave"
"seir","39","high","seir","Genesis 14:6; Genesis 32:3; Genesis 33:14; Genesis 33:16; Genesis 36:8","Easton"
"zechariah","39","high","zechariah","1 Chronicles 5:7; 1 Chronicles 9:21; 1 Chronicles 9:37; 1 Chronicles 15:18; 1 Chronicles 15:20","Easton; Nave"
"heshbon","38","high","heshbon","Numbers 21:25; Numbers 21:26; Numbers 21:27; Numbers 21:28; Numbers 21:30","Easton; Nave"
"ahaziah","37","high","ahaziah","1 Kings 22:40; 1 Kings 22:49; 1 Kings 22:51; 2 Kings 1:2; 2 Kings 1:18","Easton"
"gibeon","37","high","gibeon","Joshua 9:3; Joshua 9:17; Joshua 10:1; Joshua 10:2; Joshua 10:4","Easton"
"jehoiakim","37","high","jehoiakim","2 Kings 23:34; 2 Kings 23:35; 2 Kings 23:36; 2 Kings 24:1; 2 Kings 24:5","Easton; Nave"
"saviour","37","high","saviour","2 Samuel 22:3; 2 Kings 13:5; Psalms 106:21; Isaiah 19:20; Isaiah 43:3","Easton; Nave"
"sihon","37","high","sihon","Numbers 21:21; Numbers 21:23; Numbers 21:23; Numbers 21:26; Numbers 21:27","Easton; Nave"
"sinai","37","high","sinai","Exodus 16:1; Exodus 19:1; Exodus 19:2; Exodus 19:11; Exodus 19:18","Easton"
"tyre","37","high","tyre","Joshua 19:29; 2 Samuel 5:11; 2 Samuel 24:7; 1 Kings 5:1; 1 Kings 7:13","Easton; Nave"
"caleb","36","high","caleb","Numbers 13:6; Numbers 13:30; Numbers 14:6; Numbers 14:24; Numbers 14:30","Easton"
"jezreel","36","high","jezreel","Joshua 15:56; Joshua 17:16; Joshua 19:18; Judges 6:33; 1 Samuel 25:43","Easton; Nave"
"philip","36","high","philip","Matthew 10:3; Matthew 14:3; Mark 3:18; Mark 6:17; Luke 3:1","Easton; Nave"
"ramah","36","high","ramah","Joshua 18:25; Joshua 19:29; Joshua 19:36; Judges 4:5; Judges 19:13","Nave"
"eli","35","high","eli","1 Samuel 1:3; 1 Samuel 1:9; 1 Samuel 1:12; 1 Samuel 1:13; 1 Samuel 1:14","Easton; Nave"
"asaph","34","high","asaph","2 Kings 18:18; 2 Kings 18:37; 1 Chronicles 6:39; 1 Chronicles 6:39; 1 Chronicles 9:15","Easton; Nave"
"beersheba","34","high","beersheba","Genesis 21:14; Genesis 21:31; Genesis 21:32; Genesis 21:33; Genesis 22:19","Easton; Nave"
"hamath","34","high","hamath","Numbers 13:21; Numbers 34:8; Joshua 13:5; Judges 3:3; 2 Samuel 8:9","Easton; Nave"
"hilkiah","34","high","hilkiah","2 Kings 18:18; 2 Kings 18:26; 2 Kings 18:37; 2 Kings 22:4; 2 Kings 22:8","Easton"
"leah","34","high","leah","Genesis 29:16; Genesis 29:17; Genesis 29:23; Genesis 29:24; Genesis 29:25","Easton; Nave"
"judas","33","high","judas; juda","Matthew 1:2; Matthew 1:3; Matthew 10:4; Matthew 13:55; Matthew 26:14","Easton; Nave"
"philistine","33","high","philistine; philistines","1 Samuel 17:8; 1 Samuel 17:10; 1 Samuel 17:11; 1 Samuel 17:16; 1 Samuel 17:23","Easton; Nave"
"shiloh","33","high","shiloh","Genesis 49:10; Joshua 18:1; Joshua 18:8; Joshua 18:9; Joshua 18:10","Easton; Nave"
"gath","32","high","gath","Joshua 11:22; 1 Samuel 5:8; 1 Samuel 6:17; 1 Samuel 7:14; 1 Samuel 17:4","Easton"
"gedaliah","32","high","gedaliah","2 Kings 25:22; 2 Kings 25:23; 2 Kings 25:23; 2 Kings 25:24; 2 Kings 25:25","Easton; Nave"
"isaiah","32","high","isaiah","2 Kings 19:2; 2 Kings 19:5; 2 Kings 19:6; 2 Kings 19:20; 2 Kings 20:1","Easton; Nave"
"kohath","32","high","kohath","Genesis 46:11; Exodus 6:16; Exodus 6:18; Exodus 6:18; Numbers 3:17","Easton; Nave"
"sheba","32","high","sheba","Genesis 10:7; Genesis 10:28; Genesis 25:3; Joshua 19:2; 2 Samuel 20:1","Easton; Nave"
"shittim","32","high","shittim","Exodus 25:5; Exodus 25:10; Exodus 25:13; Exodus 25:23; Exodus 25:28","Easton; Nave"
"abiathar","31","high","abiathar","1 Samuel 22:20; 1 Samuel 22:21; 1 Samuel 22:22; 1 Samuel 23:6; 1 Samuel 23:9","Easton"
"ahasuerus","31","high","ahasuerus; ahasueru","Ezra 4:6; Esther 1:1; Esther 1:1; Esther 1:2; Esther 1:9","Easton"
"nebuchadrezzar","31","high","nebuchadrezzar","Jeremiah 21:2; Jeremiah 21:7; Jeremiah 22:25; Jeremiah 24:1; Jeremiah 25:1","Easton; Nave"
"caesar","30","high","caesar","Matthew 22:17; Matthew 22:21; Matthew 22:21; Matthew 22:21; Mark 12:14","Easton; Nave"
"elias","30","high","elias; elia","Matthew 11:14; Matthew 16:14; Matthew 17:3; Matthew 17:4; Matthew 17:10","Easton"
"jeshua","30","high","jeshua","1 Chronicles 24:11; 2 Chronicles 31:15; Ezra 2:2; Ezra 2:6; Ezra 2:36","Easton; Nave"
"micah","30","high","micah","Judges 17:1; Judges 17:4; Judges 17:5; Judges 17:8; Judges 17:9","Easton"
"rebekah","30","high","rebekah","Genesis 22:23; Genesis 24:15; Genesis 24:29; Genesis 24:30; Genesis 24:45","Easton"
"shaphan","30","high","shaphan","2 Kings 22:3; 2 Kings 22:8; 2 Kings 22:8; 2 Kings 22:9; 2 Kings 22:10","Easton; Nave"
"barnabas","29","high","barnabas; barnaba","Acts 4:36; Acts 9:27; Acts 11:22; Acts 11:25; Acts 11:30","Easton"
"hananiah","29","high","hananiah","1 Chronicles 3:19; 1 Chronicles 3:21; 1 Chronicles 8:24; 1 Chronicles 25:4; 1 Chronicles 25:23","Easton"
"jephthah","29","high","jephthah","Judges 11:1; Judges 11:1; Judges 11:2; Judges 11:3; Judges 11:3","Easton; Nave"
"joram","29","high","joram","2 Samuel 8:10; 2 Samuel 8:10; 2 Kings 8:16; 2 Kings 8:21; 2 Kings 8:23","Easton; Nave"
"merchants","29","high","merchants; merchant; merchante","1 Kings 10:15; 1 Kings 10:28; 2 Chronicles 1:16; 2 Chronicles 9:14; Nehemiah 3:31","Easton; Nave"
"nazareth","29","high","nazareth; nazar; nazare","Matthew 2:23; Matthew 4:13; Matthew 21:11; Matthew 26:71; Mark 1:9","Easton; Nave"
"persia","29","high","persia","2 Chronicles 36:20; 2 Chronicles 36:22; 2 Chronicles 36:22; 2 Chronicles 36:23; Ezra 1:1","Easton"
"amnon","28","high","amnon","2 Samuel 3:2; 2 Samuel 13:1; 2 Samuel 13:2; 2 Samuel 13:2; 2 Samuel 13:3","Easton; Nave"
"baasha","28","high","baasha","1 Kings 15:16; 1 Kings 15:17; 1 Kings 15:19; 1 Kings 15:21; 1 Kings 15:22","Easton"
"elam","28","high","elam","Genesis 10:22; Genesis 14:1; Genesis 14:9; 1 Chronicles 1:17; 1 Chronicles 8:24","Easton; Nave"
"straight","28","high","straight","Joshua 6:5; Joshua 6:20; 1 Samuel 6:12; 2 Chronicles 32:30; Psalms 5:8","Nave"
"uriah","28","high","uriah","2 Samuel 11:3; 2 Samuel 11:6; 2 Samuel 11:6; 2 Samuel 11:7; 2 Samuel 11:8","Easton; Nave"
"benhadad","27","high","benhadad","1 Kings 15:18; 1 Kings 15:20; 1 Kings 20:1; 1 Kings 20:2; 1 Kings 20:5","Easton; Nave"
"johanan","27","high","johanan","2 Kings 25:23; 1 Chronicles 3:15; 1 Chronicles 3:24; 1 Chronicles 6:9; 1 Chronicles 6:10","Easton; Nave"
"shallum","27","high","shallum","2 Kings 15:10; 2 Kings 15:13; 2 Kings 15:14; 2 Kings 15:15; 2 Kings 22:14","Easton; Nave"
"uzziah","27","high","uzziah","2 Kings 15:13; 2 Kings 15:30; 2 Kings 15:32; 2 Kings 15:34; 1 Chronicles 6:24","Easton; Nave"
"adonijah","26","high","adonijah","2 Samuel 3:4; 1 Kings 1:5; 1 Kings 1:7; 1 Kings 1:8; 1 Kings 1:9","Easton"
"baruch","26","high","baruch","Nehemiah 3:20; Nehemiah 10:6; Nehemiah 11:5; Jeremiah 32:12; Jeremiah 32:13","Easton; Nave"
"carmel","26","high","carmel","Joshua 12:22; Joshua 15:55; Joshua 19:26; 1 Samuel 15:12; 1 Samuel 25:2","Easton"
"ezra","26","high","ezra","1 Chronicles 4:17; Ezra 7:1; Ezra 7:6; Ezra 7:10; Ezra 7:11","Easton; Nave"
"hittite","26","high","hittite; hittites","Genesis 23:10; Genesis 25:9; Genesis 26:34; Genesis 26:34; Genesis 36:2","Easton; Nave"
"korah","26","high","korah","Genesis 36:5; Genesis 36:14; Genesis 36:16; Genesis 36:18; Exodus 6:21","Easton; Nave"
"macedonia","26","high","macedonia","Acts 16:9; Acts 16:9; Acts 16:10; Acts 16:12; Acts 18:5","Easton; Nave"
"zeruiah","26","high","zeruiah","1 Samuel 26:6; 2 Samuel 2:13; 2 Samuel 2:18; 2 Samuel 3:39; 2 Samuel 8:16","Easton"
"abishai","25","high","abishai","1 Samuel 26:6; 1 Samuel 26:6; 1 Samuel 26:7; 1 Samuel 26:8; 1 Samuel 26:9","Easton; Nave"
"arnon","25","high","arnon","Numbers 21:13; Numbers 21:13; Numbers 21:14; Numbers 21:24; Numbers 21:26","Easton"
"darius","25","high","darius; dariu","Ezra 4:5; Ezra 4:24; Ezra 5:5; Ezra 5:6; Ezra 5:7","Easton; Nave"
"fulness","25","high","fulness; fulnes; fulnese","Numbers 18:27; Deuteronomy 33:16; 1 Chronicles 16:32; Job 20:22; Psalms 16:11","Easton"
"jebusites","25","high","jebusites; jebusite","Genesis 15:21; Exodus 3:8; Exodus 3:17; Exodus 13:5; Exodus 23:23","Easton; Nave"
"maaseiah","25","high","maaseiah","1 Chronicles 15:18; 1 Chronicles 15:20; 2 Chronicles 23:1; 2 Chronicles 26:11; 2 Chronicles 28:7","Easton"
"meshullam","25","high","meshullam","2 Kings 22:3; 1 Chronicles 3:19; 1 Chronicles 5:13; 1 Chronicles 8:17; 1 Chronicles 9:7","Easton; Nave"
"nebat","25","high","nebat","1 Kings 11:26; 1 Kings 12:2; 1 Kings 12:15; 1 Kings 15:1; 1 Kings 16:3","Easton"
"phinehas","25","high","phinehas; phineha","Exodus 6:25; Numbers 25:7; Numbers 25:11; Numbers 31:6; Joshua 22:13","Easton; Nave"
"amalek","24","high","amalek","Genesis 36:12; Genesis 36:16; Exodus 17:8; Exodus 17:9; Exodus 17:10","Easton; Nave"
"amalekites","24","high","amalekites; amalekite","Genesis 14:7; Numbers 13:29; Numbers 14:25; Numbers 14:43; Numbers 14:45","Easton"
"armour","24","high","armour","1 Samuel 14:1; 1 Samuel 14:6; 1 Samuel 17:38; 1 Samuel 17:39; 1 Samuel 17:54","Easton"
"boaz","24","high","boaz","Ruth 2:1; Ruth 2:3; Ruth 2:4; Ruth 2:5; Ruth 2:8","Easton; Nave"
"jotham","24","high","jotham","Judges 9:5; Judges 9:7; Judges 9:21; Judges 9:57; 2 Kings 15:5","Easton; Nave"
"lachish","24","high","lachish","Joshua 10:3; Joshua 10:5; Joshua 10:23; Joshua 10:31; Joshua 10:32","Easton; Nave"
"midianites","24","high","midianites; midianite","Genesis 37:28; Genesis 37:36; Numbers 25:17; Numbers 31:2; Numbers 31:3","Easton"
"tamar","24","high","tamar","Genesis 38:6; Genesis 38:11; Genesis 38:11; Genesis 38:13; Genesis 38:24","Easton"
"tarshish","24","high","tarshish","Genesis 10:4; 1 Chronicles 1:7; 2 Chronicles 9:21; 2 Chronicles 9:21; 2 Chronicles 20:36","Easton; Nave"
"cyrus","23","high","cyrus; cyru","2 Chronicles 36:22; 2 Chronicles 36:22; 2 Chronicles 36:23; Ezra 1:1; Ezra 1:1","Easton; Nave"
"hazael","23","high","hazael","1 Kings 19:15; 1 Kings 19:17; 2 Kings 8:8; 2 Kings 8:9; 2 Kings 8:12","Easton"
"hiram","23","high","hiram","2 Samuel 5:11; 1 Kings 5:1; 1 Kings 5:1; 1 Kings 5:2; 1 Kings 5:7","Easton; Nave"
"jehoahaz","23","high","jehoahaz","2 Kings 10:35; 2 Kings 13:1; 2 Kings 13:4; 2 Kings 13:7; 2 Kings 13:8","Easton; Nave"
"jehoram","23","high","jehoram","1 Kings 22:50; 2 Kings 1:17; 2 Kings 1:17; 2 Kings 3:1; 2 Kings 3:6","Easton; Nave"
"mizpah","23","high","mizpah","Genesis 31:49; 1 Kings 15:22; 2 Kings 25:23; 2 Kings 25:25; 2 Chronicles 16:6","Easton; Nave"
